epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
64,19446.3,0.38389,0.37779,0.0342,0.92627,0.90954,0.95212,0.69065,0.34692,0.37848,0.03889,0.000244837,0.000244837,0.000244837
65,19759.2,0.38161,0.3765,0.03425,0.9314,0.91098,0.95387,0.69366,0.34608,0.37658,0.03891,0.000231088,0.000231088,0.000231088
66,20042.7,0.37655,0.37475,0.03379,0.93253,0.90945,0.95369,0.69258,0.34588,0.37642,0.03893,0.000217339,0.000217339,0.000217339
67,20326.1,0.38071,0.37755,0.03459,0.93291,0.90568,0.95103,0.68936,0.34691,0.37858,0.03899,0.000203591,0.000203591,0.000203591
68,20609.9,0.37725,0.3747,0.03367,0.93386,0.90792,0.95316,0.6946,0.34438,0.37632,0.03877,0.000189842,0.000189842,0.000189842
69,20903.5,0.38053,0.37405,0.03359,0.93141,0.90841,0.9524,0.69639,0.34487,0.37593,0.03867,0.000176094,0.000176094,0.000176094
70,21185.4,0.37441,0.37228,0.03363,0.93199,0.90944,0.95377,0.69934,0.34293,0.3743,0.03831,0.000162345,0.000162345,0.000162345
71,21472.1,0.35329,0.36869,0.03399,0.93311,0.90247,0.95122,0.69506,0.34356,0.37599,0.03846,0.000148596,0.000148596,0.000148596
72,21764.7,0.35083,0.36733,0.03388,0.93222,0.90449,0.95251,0.69581,0.34307,0.37437,0.03833,0.000134848,0.000134848,0.000134848
73,22059.1,0.34373,0.36312,0.03346,0.93213,0.90622,0.95262,0.69692,0.3415,0.37487,0.03803,0.000121099,0.000121099,0.000121099
74,22341.9,0.34429,0.36318,0.03292,0.92842,0.91112,0.95422,0.69781,0.34021,0.3728,0.03793,0.00010735,0.00010735,0.00010735
75,22631.5,0.34355,0.36361,0.03298,0.93499,0.90707,0.95295,0.69799,0.34159,0.37456,0.03824,9.36017e-05,9.36017e-05,9.36017e-05
76,22922,0.33706,0.36016,0.03208,0.93148,0.91004,0.95437,0.70041,0.3402,0.37167,0.03816,7.98531e-05,7.98531e-05,7.98531e-05
77,23203.5,0.33014,0.35635,0.03181,0.93727,0.90818,0.95482,0.70122,0.33926,0.37125,0.03823,6.61045e-05,6.61045e-05,6.61045e-05
78,23483,0.33385,0.35652,0.03175,0.9345,0.91151,0.95335,0.70013,0.33914,0.37163,0.03813,5.23559e-05,5.23559e-05,5.23559e-05
79,23786.5,0.32905,0.35399,0.03121,0.93612,0.91113,0.95349,0.70163,0.33807,0.3709,0.03794,3.86073e-05,3.86073e-05,3.86073e-05
80,24099.7,0.33003,0.35413,0.031,0.93831,0.90884,0.9545,0.70319,0.33673,0.37061,0.03776,2.48586e-05,2.48586e-05,2.48586e-05
